,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
0,Reinhart Boerner Van Deuren s.c.,Certified,H-1B,INDIA,WAUKESHA,Vice President of Human Resources,GENERAC POWER SYSTEMS,1935.0,WISCONSIN,Bachelor's,UNIVERSITY OF KERALA,MECHANICAL ENGINEERING,WISCONSIN,4,Industrial Engineers,90000.0
1,Law Office of Jonathan Chin,Denied,H-1B,GERMANY,AURORA,Chief Financial Officer,"AVIDITY, LLC",4.0,COLORADO,Doctorate,CHRISTIAN ALBRECHTS UNIVERSITY OF KIEL,MOLECULAR BIOLOGY,COLORADO,1,"Biological Scientists, All Other",65000.0
2,Cumming & Partners,Certified,H-1B,CANADA,NEW YORK,Managing Partner,TALBERT & TALBERT LLC,3.0,NEW YORK,Bachelor's,THE UNIVERSITY OF WESTERN ONTARIO,MEDIA STUDIES,NEW YORK,2,Public Relations Specialists,55700.0
3,"Law Offices of Kendra S. Elliott, Esq.",Certified,H-1B,BRAZIL,GALENA PARK,Human Resources Manager,"GREEN EARTH FUELS OF HOUSTON, LLC.",36.0,TEXAS,Bachelor's,CENTRO UNIVERSITARIO DE CIDADE -  UNIVERCIDADE,MARKETING,TEXAS,2,Market Research Analysts and Marketing Specialists*,53560.0
4,"Law Office of Thomas V. Allen, PLLC",Certified,H-1B,INDIA,FEDERAL WAY,GENERAL MANAGER- OPERATIONS & DELIVERY,APPLEXUS TECHNOLOGIES LLC,36.0,WASHINGTON,Bachelor's,MOHAMED SATHAK ENGINEERING COLLEGE (ANNA UNIVERSITY),ENGINEERING,NEW JERSEY,3,"Software Developers, Applications",99424.0
5,Litwin & Associates,Certified,H-1B,CHINA,MILPITAS,Chief Financial Officer,"ARRAY NETWORKS, INC.",50.0,CALIFORNIA,Master's,SYRACUSE UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",98675.0
6,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,DALLAS,International Human Resources Representative,"HUNT CONSOLIDATED, INC.",600.0,TEXAS,Master's,THE UNIVERSITY OF TEXAS AT DALLAS,COMPUTER SCIENCE,TEXAS,2,Computer Systems Analysts,69600.0
7,Armstrong Teasdale LLP,Certified,H-1B,CHINA,CHESTERFIELD,"Executive Director, Human Resources US & Mexico",RGA REINSURANCE,920.0,MISSOURI,Master's,FINANCE,WASHINGTON UNIVERSITY IN ST. LOUIS,MISSOURI,2,Financial Analysts,75000.0
8,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,GUATEMALA,GLENNVILLE,General Counsel,"BLAND FARMS, LLC",776.0,GEORGIA,Bachelor's,EARTH UNIVERISTY,AGRICULTURAL ENGINEERING,GEORGIA,1,"Farmers, Ranchers, and Other Agricultural Managers",55000.0
9,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,CHINA,PHILADELPHIA,"IMMIGRATION ADMINISTRATION, HUMAN RESOUCES",TOWERS WATSON PENNSYLVANIA INC.,3000.0,PENNSYLVANIA,Master's,GEORGIA STATE UNIVERSITY,ACTUARIAL SCIENCE,ILLINOIS,1,Financial Analysts,97850.0
10,"BBI LAW GROUP, P.C.",Certified,H-1B,INDIA,RALEIGH,President,"SMART SWITCH, LLC",9.0,NORTH CAROLINA,Master's,OSMANIA UNIVERSITY,COMPUTER APPLICATIONS,GEORGIA,3,"Software Developers, Applications",90813.0
11,Garfinkel Immigration Law Firm,Certified,H-1B,CHINA,RALEIGH,Director of Human Resources,MEREDITH COLLEGE,498.0,NORTH CAROLINA,Master's,UNIVERSITY OF VIRGINIA,EDUCATIONAL PSYCHOLOGY  (SEE SECTION H.14),MINNESOTA,1,Operations Research Analysts,39312.0
12,Hammond Law Group,Certified,H-1B,INDIA,IRVING,Director,PERITUS INC,60.0,TEXAS,Master's,BHARATHIDASAN UNIVERSITY,COMPUTER APPLICATIONS,FLORIDA,4,Database Administrators,88005.0
13,Nair Law Group,Certified,H-1B,INDIA,ISELIN,President,VST CONSULTING INC,77.0,NEW JERSEY,Master's,UNIVERSITY OF BRIDGEPORT,ENGINEERING,WISCONSIN,3,"Software Developers, Applications",90459.0
14,Dykema,Certified,H-1B,JAPAN,GROVE CITY,President,"HOKUTO USA, INC.",30.0,OHIO,Bachelor's,UNIVERSITY OF KANSAS,AEROSPACE ENGINEERING,OHIO,2,Sales Engineers,67000.0
15,"Morgan, Lewis & Bockius LLP",Certified,H-1B,INDIA,WEST DES MOINES,Senior Legal Analyst,EXELON WIND LLC,46.0,IOWA,Bachelor's,G.H. RAISONI COLLEGE OF ENGINEERING,ELECTRICAL ENGINEERING,IOWA,2,Industrial Engineers,64813.0
16,Berry Appleman & Leiden LLP,Certified,H-1B,JAPAN,MOUNTAIN VIEW,Immigration Program Manager,LINKEDIN CORPORATION,4900.0,CALIFORNIA,Master's,STANFORD UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",120000.0
17,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,UKRAINE,PHILADELPHIA,Human Resources Administrator,"COMCAST CABLE COMMUNICATIONS, LLC",129000.0,PENNSYLVANIA,Master's,ODESSA NATIONAL POLYTECHNIC UNIVERSITY,COMPUTER SCIENCE,PENNSYLVANIA,1,"Software Developers, Applications",69493.0
18,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,INDIA,SAN DIEGO,IMMIGRATION SPECIALIST - QUALCOMM HR,"OMNITRACS, INC.",426.0,CALIFORNIA,Master's,SAN DIEGO STATE UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,Computer Systems Analysts,78478.4
19,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,CHINA,SAN DIEGO,Immigration Specialist - Qualcomm HR,QUALCOMM TECHNOLOGIES INC.,31000.0,CALIFORNIA,Master's,ZHEJIANG UNIVERSITY,COMPUTER SCIENCE AND TECHNOLOGY,CALIFORNIA,2,"Electronics Engineers, Except Computer",110676.8
20,"Kramer & Alfano, PC",Certified,H-1B,SOUTH KOREA,AUGUSTA,Director/Immigration Counsel,BOR USGA OBO GEORGIA REGENTS UNIVERSITY,6000.0,GEORGIA,Doctorate,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,BUSINESS/MANAGEMENT ENGINEERING/ACCOUNTING AND FINANCE,GEORGIA,2,"Business Teachers, Postsecondary",92500.0
21,Law Offices of Mahesh Bajoria,Certified,H-1B,INDIA,SUNNYVALE,Director,HORIZON TECHNOLOGIES INC,217.0,CALIFORNIA,Master's,UNIVERSITY OF BRIDGEPORT,ELECTRICAL ENGINEERING,ALABAMA,3,Computer Systems Analysts,99653.0
22,"Willcox & Savage, P.C.",Certified,H-1B,INDIA,NORFOLK,Director of Employee Relations/Attorney,"DOMINION DMS, LLC",85.0,VIRGINIA,Bachelor's,KAKATIYA UNIVERSITY,BUSINESS ADMINISTRATION (INDIAN MASTER'S DEGREE),MICHIGAN,4,"Software Developers, Applications",92206.0
23,Jackson & Hertogs LLP,Certified,H-1B,INDIA,PLEASANTON,Human Resources Analyst II,"BLACKHAWK NETWORK, INC.",1072.0,CALIFORNIA,Master's,NATIONAL UNIVERSITY,WIRELESS COMMUNICATIONS,CALIFORNIA,2,"Software Developers, Applications",119000.0
24,Law Offices of Weicheng Wang,Certified,H-1B,INDIA,EDISON,VP,"JM INFORMATION SYSTEMS,LLC",4.0,NEW JERSEY,Bachelor's,SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,CALIFORNIA,3,"Software Developers, Applications",90459.0
25,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,INDIA,NEW YORK,Vice President,CREDIT SUISSE SECURITIES (USA) LLC,47400.0,NEW YORK,Master's,ILLINOIS STATE UNIVERSITY,INFORMATION SYSTEMS,NORTH CAROLINA,2,"Software Developers, Applications",76170.0
26,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,PHILIPPINES,NEW YORK,General Counsel,ALLEN & COMPANY LLC,170.0,NEW YORK,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION SYSTEMS MANAGEMENT (MISM),NEW YORK,2,Computer Programmers,120000.0
27,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,REDWOOD SHORES,Immigration Specialist,"ORACLE AMERICA, INC.",42000.0,CALIFORNIA,Bachelor's,UNIVERSITY OF DELHI,COMPUTER SCIENCE,CALIFORNIA,4,"Software Developers, Applications",130000.0
28,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,REDWOOD SHORES,Immigration Specialist,"ORACLE AMERICA, INC.",115000.0,CALIFORNIA,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION TECHNOLOGY,CALIFORNIA,2,"Software Developers, Systems Software",102000.0
29,Gordon Law Group PC,Certified,H-1B,CHINA,AUSTIN,Chief Executive Officer,"INSIDERSREFERRAL.COM, INC.",27.0,TEXAS,Bachelor's,SHANGHAI JIAO TONG UNIVERSITY,INDUSTRIAL ENGINEERING,TEXAS,1,Market Research Analysts and Marketing Specialists*,150000.0
30,Seyfarth Shaw LLP,Certified,H-1B,CHINA,NEW YORK,"Managing Director, Human Resources",FORTRESS INVESTMENT GROUP LLC,845.0,NEW YORK,Master's,"THE BERNARD M. BARUCH COLLEGE, THE CITY UNIVERSITY OF NEW YORK",ACCOUNTING,NEW YORK,4,Accountants and Auditors,109554.0
31,Curran & Berger LLP,Certified,H-1B,INDIA,FLORHAM PARK,Medical Director,STORCH NUTRITIONAL MEDICINE ASSOCIATES,5.0,NEW JERSEY,Other,MAHARASHTRA UNIVERSITY OF HEALTH SCIENCES,MEDICINE,PENNSYLVANIA,2,"Internists, General",162739.0
32,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Bachelor's,BIT SINDRI (VINOBA BHAVE UNIVERSITY),ENGINEERING,CALIFORNIA,4,"Software Developers, Applications",126048.0
33,SilzerLaw Chartered,Denied,H-1B,CANADA,SCOTTSDALE,Controller,"PRECO, INC.",14.0,ARIZONA,Other,DAWSON COLLEGE,ELECTROTECHNOLOGY,FLORIDA,4,Sales Managers,170000.0
34,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,REDWOOD SHORES,Immigration Specialist,"ORACLE AMERICA, INC.",115000.0,CALIFORNIA,Master's,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",COMPUTER SCIENCE AND ENGINEERING,CALIFORNIA,4,"Software Developers, Systems Software",129022.0
35,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,INDIA,CAMBRIDGE,jen.griffin@pega.com,PEGASYSTEMS INC.,2200.0,MASSACHUSETTS,Master's,VILLANOVA UNIVERSITY,COMPUTER SCIENCE,NEW HAMPSHIRE,4,Computer Systems Analysts,95046.94
36,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,HOFFMAN ESTATES,HR Specialist,SEARS HOLDINGS MANAGEMENT CORPORATION,5729.0,ILLINOIS,Master's,UNIVERSITY OF BRIDGEPORT,ELECTRICAL ENGINEERING,ILLINOIS,4,"Software Developers, Applications",110000.0
37,John F. Finnell Attorney at Law,Certified,H-1B,JAPAN,NEW YORK,PRESIDENT,"THE SAKE CLUB, INC.",64.0,NEW YORK,Bachelor's,NIHON FUKUSHI UNIVERSITY,ECONOMICS,NEW YORK,2,Market Research Analysts and Marketing Specialists*,60445.0
38,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,REDMOND,Microsoft In-House Attorney,MICROSOFT CORPORATION,58000.0,WASHINGTON,Master's,THE UNIVERSITY OF GEORGIA,ARTIFICIAL INTELLIGENCE (COMPUTER SCIENCE RELATED),WASHINGTON,2,"Software Developers, Applications",108680.0
39,,Denied,H-1B,INDIA,RTP,Senior Software Engineer Manager,IBM CORPORATION,307400.0,NORTH CAROLINA,Bachelor's,UNIVERSITY OF BOMBAY,BUSINESS ADMINISTRATION,TEXAS,1,"Computer Software Engineers, Applications",60424.0
40,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Bachelor's,GULBURGA UNIVERSITY,ENGINEERING,FLORIDA,4,"Software Developers, Applications",126048.0
41,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,COLUMBUS,Global Mobility Director,CUMMINS EMISSION SOLUTIONS INC.,39800.0,INDIANA,Master's,NEW JERSEY INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,WISCONSIN,2,Electrical Engineers,66800.0
42,"Clement & Hurst, PLC",Certified,H-1B,INDIA,AUSTIN,President,"TECRA SYSTEMS, INC.",47.0,TEXAS,Master's,MADURAI KAMARAJ UNIVERSITY,COMPUTER APPLICATIONS,TEXAS,3,"Software Developers, Applications",99000.0
43,"Tadmor & Tadmor, LLP",Certified,H-1B,INDIA,TAMPA,Vice President,SYSTEM SOFT TECHNOLOGIES LLC,380.0,FLORIDA,Bachelor's,OSMANIA UNIVERSITY,COMPUTER SCIENCE,FLORIDA,3,"Software Developers, Applications",83366.0
44,"Fragomen, Del Rey, Bernsen & Loewy, LLP.",Certified,H-1B,INDIA,ST. PETERSBURG,Sr. Director,JABIL CIRCUIT INC,100000.0,FLORIDA,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,ELECTRONIC ENGINEERING AND COMPUTER ENGINEERING,FLORIDA,4,Computer Systems Analysts,140000.0
45,"Law Office of Maritza Diaz, PC",Denied,H-1B,INDIA,PLANTATION,President,"CHETU, INC.",14.0,FLORIDA,Bachelor's,GUJARAT UNIVERSITY,COMPUTER ENGINEERING,FLORIDA,1,"Computer Software Engineers, Applications",55494.4
46,Greenberg Traurig LLP,Certified,H-1B,INDIA,EL DORADO HILLS,HR Shared Services Rep,BLUE SHIELD OF CALIFORNIA,4800.0,CALIFORNIA,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,4,Computer Systems Analysts,113610.0
47,Seyfarth Shaw LLP,Certified,H-1B,INDIA,INDIANAPOLIS,Legal Specialist II,"NATIONAL GOVERNMENT SERVICES, INC.",43500.0,INDIANA,Bachelor's,KAKATIYA UNIVERSITY,COMPUTER SCIENCE ENGINEERING,INDIANA,2,Network and Computer Systems Administrators*,85216.0
48,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,MOUNTAIN VIEW,Immigration Program Specialist,GOOGLE INC.,53861.0,CALIFORNIA,Bachelor's,UNIVERSITY OF WASHINGTON,COMPUTER ENGINEERING,CALIFORNIA,2,"Software Developers, Applications",110000.0
49,M,Certified,H-1B,UNITED KINGDOM,NEW YORK,In-House Immigration Counsel,"MCKINSEY & COMPANY, INC UNITED STATES",7000.0,NEW YORK,Other,"BAY HOUSE, 6TH FORM COLLEGE",LONDON CHAMBER OF COMMERCE PRIVATE SECRETARY CERTIFICATE,GEORGIA,4,"Human Resources, Training, and Labor Relations Specialists, All Other*",98400.0
50,"Baumann, Landau & Simon",Certified,H-1B,INDIA,CLARKSBURG,President,CYNCZ LLC,2.0,MARYLAND,Master's,UNIVERSITY OF RAJASTHAN,COMPUTER APPLICATIONS,MARYLAND,1,"Software Developers, Applications",71718.0
51,"Law Office of Thomas V. Allen, PLLC",Certified,H-1B,INDIA,FEDERAL WAY,GENERAL MANAGER- OPERATIONS & DELIVERY,APPLEXUS TECHNOLOGIES LLC,36.0,WASHINGTON,Bachelor's,CSI INSTITUTE OF TECHNOLOGY OF MANONMANIAM SUNDARANAR UNIVERSITY,ENGINEERING IN ELECTRONICS AND COMMUNICATION,GEORGIA,3,"Software Developers, Applications",99424.0
52,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,INDIA,MILFORD,Paralegal,SIEMENS PLM SOFTWARE INC.,8000.0,OHIO,Master's,"INDIAN INSTITUTE OF TECHNOLOGY, KANPUR",MECHANICAL ENGINEERING,OHIO,3,"Software Developers, Applications",78166.0
53,"Jackson Lewis, LLP",Certified,H-1B,TANZANIA,KILLEEN,"Executive Director, Human Resources",METROPLEX ADVENTIST HOSPITAL,140000.0,TEXAS,Master's,LASIERRA UNIVERSITY,ACCOUNTING AND FINANCE,TEXAS,4,Accountants and Auditors,80371.0
54,"H. Taufiq Choudhury, PC",Certified,H-1B,INDIA,SOUTH PLAINFIELD,Vice President,"RADIANT SYSTEMS, INC.",305.0,NEW JERSEY,Master's,WILMINGTON UNIVERSITY,MANAGEMENT & MANAGEMENT INFORMATION SYSTEMS,NEW JERSEY,2,"Software Developers, Applications",75500.0
55,"Mannam & Associates, LLC",Certified,H-1B,INDIA,CUMMING,VP-Human Resource,IT DIVISION INC,35.0,GEORGIA,Master's,MIDDLE TENNESSEE STATE UNIVERSITY,INFORMATION SYSTEMS,TENNESSEE,3,"Software Developers, Applications",87000.0
56,LAW OFFICE OF RAJAGURU NALLIAH INC.,Certified,H-1B,INDIA,BINGHAM FARMS,HR Manager,"COGENT INTEGRATED BUSINESS SOLUTIONS, INC.",40.0,MICHIGAN,Master's,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",ENGINEERING,ILLINOIS,3,"Software Developers, Applications",76149.0
57,Azarmehr Law Group,Certified,H-1B,INDIA,SAN ANTONIO,HR Generalist,"RACKSPACE US, INC.",4000.0,TEXAS,Master's,UNIVERSITY OF HOUSTON,COMPUTER SCIENCE,TEXAS,4,Database Administrators,88504.0
58,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,PAKISTAN,PALO ALTO,HR Operations Manager,"SAP LABS, LLC",2130.0,CALIFORNIA,Master's,STANFORD UNIVERSITY,MANAGEMENT SCIENCE AND ENGINEERING,MASSACHUSETTS,4,Market Research Analysts and Marketing Specialists*,88655.0
59,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,GRENADA,LINCOLNSHIRE,Immigration Specialist,HEWITT ASSOCIATES LLC,59000.0,ILLINOIS,Bachelor's,MIDWESTERN STATE UNIVERSITY,MANAGEMENT INFORMATION SYSTEMS,GEORGIA,2,Computer Systems Analysts,63107.0
60,"Law Offices of Amarnath Gowda, P.C.",Certified,H-1B,INDIA,TAYLOR,President,ANGSTROM USA LLC,34.0,MICHIGAN,Master's,WAYNE STATE UNIVERSITY,BUSINESS ADMINISTRATION,MICHIGAN,4,Mechanical Engineers,101275.0
61,Mitchell Silberberg & Knupp LLP,Certified,H-1B,INDIA,SAN FRANCISCO,Sr. Human Resources Director,SEPHORA USA INC,8000.0,CALIFORNIA,Bachelor's,INDIRA GANDHI NATIONAL OPEN UNIVERSITY,COMPUTER APPLICATIONS (3 YEAR DEGREE),CALIFORNIA,4,"Software Developers, Applications",132080.0
62,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,RTP,Senior Managing Consultant,IBM CORPORATION,430000.0,NORTH CAROLINA,Bachelor's,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,ELECTRONIC ENGINEERING,TEXAS,4,"Software Developers, Applications",122179.0
63,"Madan & Saigal, LLC",Certified,H-1B,INDIA,BRAINTREE,H.R. Specialist,"THE DOTCOM.TEAM, LLC",170.0,MASSACHUSETTS,Bachelor's,OSMANIA UNIVERSITY,COMPUTER APPLICATIONS,FLORIDA,4,"Software Developers, Applications",121500.0
64,Law Office of John N. Tsuchida,Certified,H-1B,CHINA,LONG BEACH,Chief Financial Officer,COMPULINK MANAGEMENT CENTER INC,182.0,CALIFORNIA,Master's,CLAREMONT GRADUATE UNIVERSITY,ECONOMICS,CALIFORNIA,3,"Software Developers, Applications",94182.0
65,"FosterQuan, LLP",Certified,H-1B,RUSSIA,HOUSTON,VP of Administration,CAMAC INTERNATIONAL CORPORATION,26.0,TEXAS,Master's,BAIKAL STATE UNIVERSITY OF ECONOMICS AND LAW,BUSINESS ADMINISTRATION,TEXAS,2,Cost Estimators,63000.0
66,Fowler White Boggs PA,Denied,H-1B,TURKEY,PHOENIX,President,LIBERTY PETROLEUM CORPORATION,7.0,ARIZONA,Master's,THUNDERBIRD: THE AMERICAN GRADUATE SCHOOL OF INTL MANAGEMENT,INTERNATIONAL MANAGEMENT,ARIZONA,3,General and Operations Managers,99050.0
67,"Donald H. Freiberg, Esq.",Denied,H-1B,INDIA,PALO ALTO,"Compensation, Benefits & HRIS Specialist",VARIAN MEDICAL SYSTEMS,4900.0,CALIFORNIA,Bachelor's,UNIVERSITY OF DELHI,BUSINESS ADMINISTRATION,CALIFORNIA,2,Network and Computer Systems Administrators,23999.04
68,Gokare Law Firm,Denied,H-1B,INDIA,NORCROSS,General Manager,"FUTURETECH CONSULTANTS, LLC",20.0,GEORGIA,Bachelor's,GULBARGA UNIVERSITY,COMPUTER SCIENCE,GEORGIA,1,"Computer Software Engineers, Systems Software",58698.0
69,Goeschl Law Corporation,Denied,H-1B,INDIA,ALEXANDRIA,Human Resources Manager,COGSDALE SUPPORT LTD,30.0,VIRGINIA,Bachelor's,ANDHRA UNIVERSITY,COMPUTER SCIENCE,VIRGINIA,4,"Computer Software Engineers, Applications",110240.0
70,"American Services Network, PC",Certified,H-1B,PANAMA,FORT WORTH,Specialist Immigration,AMERICAN AIRLINES,90000.0,TEXAS,Master's,PURDUE UNIVERSITY,INFORMATION TECHNOLOGY,TEXAS,2,"Electronics Engineers, Except Computer",68000.0
71,"Kaplan, O'Sullivan & Friedman, LLP",Certified,H-1B,INDIA,BOSTON,Team Lead - Human Resources,"KEANE, INC.",12500.0,MASSACHUSETTS,Master's,BHARATHIAR UNIVERSITY,COMPUTER APPLICATIONS,NEW JERSEY,3,"Computer Software Engineers, Applications",96013.0
72,"ISHAR LAW FIRM, PC",Certified,H-1B,SOUTH KOREA,NEW YORK,HR Administrator,"ZONI LANGUAGE CENTER, INC",175.0,NEW YORK,Bachelor's,HUNTER COLLEGE,ENGLISH,NEW YORK,4,"Educational, Guidance, School, and Vocational Counselors",81994.0
73,Berry Appleman & Leiden LLP,Denied,H-1B,INDIA,REDMOND,Attorney,MICROSOFT CORPORATION,79000.0,WASHINGTON,Master's,UNIVERSITY OF HOUSTON,COMPUTER SCIENCE,WASHINGTON,2,"Computer Software Engineers, Systems Software",86700.0
74,"Mannam & Associates, LLC",Denied,H-1B,INDIA,NEWARK,Director,AMSOL INC,165.0,DELAWARE,Master's,WEST VIRGINIA UNIVERSITY,ENGINEERING,NEW YORK,1,Operations Research Analysts,50000.0
75,"Cohen & Grigsby, P.C.",Denied,H-1B,INDIA,BLUE BELL,Director of Human Resources,GENILOGIX,49.0,PENNSYLVANIA,Master's,UNIVERSITY OF ILLINOIS AT CHICAGO,COMPUTER ENGINEERING,ARIZONA,1,"Computer Software Engineers, Applications",70000.0
76,"BAKMAZIAN & ASSOCIATES, LLC",Denied,H-1B,FRANCE,CONYERS,COO,ROCKLAND COUNTRY DAY SCHOOL,50.0,NEW JERSEY,Master's,UNIVERSITY LUMIERE LYON II,SPANISH,NEW JERSEY,1,"Middle School Teachers, Except Special and Vocational Education",47660.0
77,"Leblang & Solano, P.L.L.P.",Denied,H-1B,INDIA,FAIRFAX,Principal,MILLENNIUMSOFT,38.0,VIRGINIA,Other,MADURAI KAMARAJ UNIVERSITY,BUSINESS ADMINISTRATION AND INFORMATION TECHNOLOGY,MARYLAND,1,"Computer Software Engineers, Applications",60778.0
78,"Andrew Dutton, Esq., P.C.",Denied,H-1B,FRANCE,DALLAS,Headmaster,DALLAS INTERNATIONAL SCHOOL,75.0,TEXAS,Other,UNIVERSITE DE RENNES II,HISTORY AND GEOGRAPHY,TEXAS,1,"Secondary School Teachers, Except Special and Vocational Education",29860.0
79,"Arvin Amatorio, PC",Certified,H-1B,PHILIPPINES,NEW YORK,President,"MEDICAL DYNAMIC SYSTEMS, INC",90.0,NEW YORK,Master's,THE UNIVERSITY OF THE EAST,BUSINESS ADMINISTRATION,NEW YORK,2,Economists,93700.0
80,Law Office of Tricia Wang,Certified,H-1B,INDIA,FREMONT,President,"E-BASE TECHNOLOGIES, INC",52.0,CALIFORNIA,Bachelor's,NAGARJUNA UNIVERSITY,BUSINESS ADMINISTRATION,CALIFORNIA,1,Computer Systems Analysts,63606.0
81,"LAW OFFICES OF SPAR & BERNSTEIN, P.C.",Denied,H-1B,ISRAEL,LYNBROOK,PRESIDENT,SUITS WAREHOUSE OUTLET CORP. D/B/A KARAKO DESIGNER SUITS,40.0,NEW YORK,Associate's,ORT SINGALOVSKY COLLEGE,ELECTRICAL SYSTEMS,NEW YORK,1,Electrical Engineers,12338.56
82,"Palma Yanni, PC, Attorney at Law",Denied,H-1B,UNITED KINGDOM,ASHTON,Owner,"REDDEMEADE FARM, INC",24.0,MARYLAND,Associate's,COMMUNITY COLLEGE OF  BALTIMORE COUNTY,EQUINE AND HUMAN MASSAGE,MARYLAND,1,Recreation Workers,34000.0
83,Mikkelborg Broz Wells and Fryer,Denied,H-1B,INDIA,EVERETT,Legal Support Specialist,FLUKE ELECTRONICS CORPORATION,1133.0,WASHINGTON,Master's,SHIPPENSBURG UNIVERSITY,COMPUTER SCIENCE,WASHINGTON,4,Computer Systems Analysts,93300.0
84,Berry Appleman & Leiden LLP,Denied,H-1B,NEW ZEALAND,LOS ANGELES,Senior Vice President,"OAKTREE CAPITAL MANAGEMENT, L.P.",575.0,CALIFORNIA,Bachelor's,UNIVERSITY OF OTAGO,BUS. ADMIN WITH CONCENTRATION IN FINANCE,CONNECTICUT,4,Financial Analysts,180000.0
85,Law Offices of Aruna Venkidu,Certified,H-1B,INDIA,SANJOSE,HR MANAGER,"JASS & ASSOCIATES,INC.",200.0,CALIFORNIA,Master's,THE CITY UNIVERSITY OF NEW YORK,ELECTRICAL ENGINEERING,NEW JERSEY,3,"Computer Software Engineers, Applications",21078.72
86,"Epstein, Becker & Green, P.C.",Denied,H-1B,UNITED KINGDOM,CLOVERDALE,Field Support Coordinator,"SUMMIT HELICOPTERS, INC.",65.0,VIRGINIA,Master's,CRANFIELD INSTITUTE OF TECHNOLOGY,BIO-AERONAUTICS,VIRGINIA,1,Commercial Pilots,48000.0
87,"Leonard, Street and Deinard",Certified,H-1B,MEXICO,ANOKA,Director of Human Resources,"HOFFMAN ENCLOSURES, INC.",1466.0,MINNESOTA,Bachelor's,UNIVERSIDAD AUTONOMA DE NUEVO LEON,ELECTRICAL ENGINEERING,TEXAS,4,General and Operations Managers,130000.0
88,STEVEN P. MOCK AND ASSOCIATES,Denied,H-1B,HONDURAS,HOUSTON,Owner,"DESIGNER STONE CENTER, INC.",36.0,TEXAS,Bachelor's,NATIONAL AUTONOMOS UNIVERSITY OF HONDURAS,LICENTIATE IN PUBLIC ACCOUNTING,TEXAS,4,Accountants,73757.0
89,Baker & McKenzie LLP,Certified,H-1B,INDIA,NEW YORK,"Manager, Legal Affairs",AMERICAN EXPRESS TRAVEL RELATED SERVICES,33010.0,NEW YORK,Bachelor's,SAMBALPUR UNIVERSITY,COMPUTER ENGINEERING,ARIZONA,3,"Computer Software Engineers, Applications",87500.0
90,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,REDMOND,Attorney,MICROSOFT CORPORATION,91000.0,WASHINGTON,Master's,STEVENS INSTITUTE OF TECHNOLOGY,INFORMATION SYSTEMS,NORTH CAROLINA,3,Computer Support Specialists,87000.0
